Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,Roster Position
134497-160306,RB,Pierre,Pierre Strong Jr.,Strong Jr.,,0,1000,1500,ATL@GB,GB,ATL,Q,Hamstring,,,MVP - 1.5X Points/AnyFLEX
134497-175539,WR,Vinny,Vinny Anthony II,Anthony II,,0,1000,1500,ATL@GB,ATL,GB,,,,,MVP - 1.5X Points/AnyFLEX
134497-137017,TE,Drake,Drake Dabney,Dabney,0.800000011920929,1,1000,1500,ATL@GB,GB,ATL,,,,,MVP - 1.5X Points/AnyFLEX
134497-120642,WR,Savion,Savion Williams,Williams,1.7083333333333333,12,1000,1500,ATL@GB,GB,ATL,IR,Ankle,,,MVP - 1.5X Points/AnyFLEX
134497-176325,TE,Jack,Jack Velling,Velling,,0,1000,1500,ATL@GB,ATL,GB,,,,,MVP - 1.5X Points/AnyFLEX
134497-104019,TE,Matt,Matt Orzech,Orzech,0,2,1000,1500,ATL@GB,GB,ATL,,,,,MVP - 1.5X Points/AnyFLEX
134497-155096,WR,Quincy,Quincy Skinner Jr.,Skinner Jr.,,0,1000,1500,ATL@GB,GB,ATL,,,,,MVP - 1.5X Points/AnyFLEX
134497-120035,TE,Mark,Mark Redman,Redman,,0,1000,1500,ATL@GB,GB,ATL,,,,,MVP - 1.5X Points/AnyFLEX
134497-208360,RB,Damon,Damon Bankston,Bankston,,0,1000,1500,ATL@GB,GB,ATL,,,,,MVP - 1.5X Points/AnyFLEX
134497-89455,WR,Jayden,Jayden Reed,Reed,2.200000047683716,2,1000,1500,ATL@GB,GB,ATL,D,Neck,,,MVP - 1.5X Points/AnyFLEX
134497-86646,RB,Trey,Trey Sermon,Sermon,0,1,1000,1500,ATL@GB,ATL,GB,IR,Undisclosed,,,MVP - 1.5X Points/AnyFLEX
